ClauseLikeUnit(CLU)-value,Region,D/H,Age,Gender,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,HS,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,RH-IDgloss-value,LH-IDgloss-value,Comments-value,regularity
BM08M18AHC_CLU#113,Birmingham,hearing,18,M,Negated clause,Single,NA,NA,but-well (me) dismiss/couldn't-be-bothered,"I did think about going to you, but I couldn't be bothered.",430,Neg/response,Absent,Present,None,HS,Present,NA,NA,NA,Absent,G:WELL,G:DISMISS,NA,Regular
BM08M18AHC_CLU#115,Birmingham,hearing,18,M,Negated clause,Single,NA,NA,me long-time see-each-other nothing (we hadn't seen each other for ages),I wanted to go out with my cousin because I hadn't seen him for ages.,1190,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),NHS,Absent,NA,NA,"see, not yet",Single,"PT:PRO1SG/PT:PRO1SG, AGES, LOOK02, NOTHING","AGES, LOOK02, NOTHING",NA,Regular
BM08M18AHC_CLU#120,Birmingham,hearing,18,M,Negated clause,Single,NA,NA,me (not) go-to-you (no),I texted you to drop our plans because I was meeting him.,510,Neg/declarative,Absent,Present,None,"NHS, HS",Present,NA,NA,NA,Absent,"PT:PRO1SG, GO-TO",NA,NA,Regular
BM09M68WHNC_CLU#024,Birmingham,hearing,68,M,Negated clause,Single,NA,NA,(it) doesn't-bother me,But that doesn't matter because I've got plenty of savings.,710,Neg/declarative,Single,Present,other,HS,Present,NA,NA,no matter,Single,"PROBLEM-NOT, PT:PRO1SG","PROBLEM-NOT, FBUOY",NA,?
BM09M68WHNC_CLU#049,Birmingham,hearing,68,M,Negated clause,Depend,NA,dependent,they but hey-- if (they not) talk-to me (no),"If they don't talk to me, I won't give them presents! ",1580,Neg/declarative,Absent,Present,None,"NHS, HS ",Present,CA:SIGNER,NA,"if, talk",Absent,"PT:PRO3SG, BUT, G:HEY, FS:IF, TALK, PT:PRO1SG","FS:IF, TALK",GH: possibly just FBUOY here?,Regular
BM09M68WHNC_CLU#050,Birmingham,hearing,68,M,Negated clause,Depend,NA,independent,me no-them (refuse them) not give-present me,"If they don't talk to me, I won't give them presents! ",1510,Neg/declarative,Multiple,Absent,reprise (clause-final),NHS,Absent,CA:SIGNER ,"PRESSED-LIPS, PRESSED-LIPS",pres(ent),Absent,"PT:PRO1SG, NO02, GIVE, NO02, PT:PRO1SG",GIVE,NA,Regular
BM09M68WHNC_CLU#051,Birmingham,hearing,68,M,Negated clause,SharedCecho,NA,NA,(me) cannot!,I can't!,320,Neg/response,Single,Present,other,HS,Present,NA,NA,can't,Single,NA,CAN-NOT,NA,Regular
BM09M68WHNC_CLU#052,Birmingham,hearing,68,M,Negated clause,Depend?,NA,dependent,(if) me no-them (refuse them),"If I said no, my daughter and her wife would think I was selfish. ",720,Neg/declarative,Single,Absent,other,NHS,Absent,CA:SIGNER,NA,if,Absent,"PT:PRO1SG, NO02",NA,NA,Regular
BM09M68WHNC_CLU#055,Birmingham,hearing,68,M,Negated clause,Single,NA,NA,(me) not-want (to feel that way) me! ,I wouldn't want that.,1070,Neg/declarative,Single,Absent,other,NHS,Absent,NA,NA,NA,Absent,"WANT-NOT, PT:PRO1SG",NA,NA,?
BM09M68WHNC_CLU#058,Birmingham,hearing,68,M,Negated clause?,Single ,NA,NA,(they not) me look-at-me oh-well (strange),"And they seem to love their games, so... ",1030,Neg/declarative,Absent,Absent,None,NHS,Absent,CA:SIGNER ,NA,NA,Absent,"PT:PRO1SG, LOOK02, G:WELL",NA,"SS: not sure why but this confusing me, perhap translation need to be change ?? ",Regular
BM09M68WHNC_CLU#080,Birmingham,hearing,68,M,Negated clause,Single,NA,NA,not different (things like) house door roof no?,Different doors and roofs for houses.,3160,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"HS, NHS ",Present,NA,NA,"not, house, door, roof",Single,"DIFFERENT, HOUSE, DOOR, ROOF, NO","DIFFERENT, HOUSE, DOOR, ROOF",NA,Regular
BM09M68WHNC_CLU#102,Birmingham,hearing,68,M,Negated clause,Embed,post-container,NA,(not) apprentices no/(not have) apprenticeship no,Most building workers did not have apprenticeships.,1030,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",Present,NA,NA,appren(tice),Absent,"APPRENTICE, NO","APPRENTICE, NO",NA,Regular
BM09M68WHNC_CLU#105,Birmingham,hearing,68,M,Negated clause,Single,NA,NA,(you not) apprentice nothing you nothing you?,"It's the same for bricklaying, you didn't have an apprenticeship, did you? ",1842,Neg/interrogative,Multiple,Present,reprise (non-clause-final),"NHS, HS ",Present,NA,NA,appren(tice),Absent,"APPRENTICE, NOTHING, PT:PRO2SG, NOTHING, PT:PRO2SG","APPRENTICE, NOTHING",NA,Regular
BM09M68WHNC_CLU#117,Birmingham,hearing,68,M,Negated clause,Single,NA,NA,welf-- interpreters not-exist (there were no interpreters),"There were no interpreters,",1910,Neg/declarative,Single,Present,other,"NHS, HS",Present,NA,NA,interpreters,Absent,"SOCIAL-WORKER(FALSE-START), INTERPRETER, NOTHING","SOCIAL-WORKER(FALSE-START), INTERPRETER, NOTHING",NA,Regular
BM09M68WHNC_CLU#124,Birmingham,hearing,68,M,Negated clause? ,Embed,contained ,NA,missioner (their sign like this) there-the missioners (no not good),Nowadays people say they think the missioners were patronising.,2147,Neg/declarative,Absent,Present,None,"NHS, HS",Present,NA,NA,"missioner, missioner",Absent,"MISSIONER, PT:DET, MISSIONER","MISSIONER, PT:DET, MISSIONER",GH: unsure of tranlsation,Regular
BM10M67WDNC_CLU#005,Birmingham,deaf,67,M,Negated clause,Single,NA,NA,(oh) not-know me well...,"Oh, I don't know...",1440,Neg/response,Single,Present,other,"HS , NHS",Present,NA,NA,"don't know, me",Single,"KNOW-NOT, PT:PRO1SG, G:WELL",KNOW-NOT,NA,Irregular
BM10M67WDNC_CLU#010,Birmingham,deaf,67,M,Negated clause,Single,NA,NA,but future-ahead (me) not-know me well,I don't know about the future.,1790,Neg/declarative,Single,Present,other,"NHS, HS, NHS ",Present,NA,NA,"but, fu(ture), (don't) know",Single,"BUT, FUTURE, KNOW-NOT, PT:PRO1SG, G:WELL",NA,Have changed RH-GramCls from Adv to Noun because I believe semantically FUTURE is being used as a noun here GH: not sure I understand?,Irregular
BM10M67WDNC_CLU#030,Birmingham,deaf,67,M,Negated clause,Single,NA,NA,me (gulp reluctant) really not-want me,I don't really want to. ,1910,Neg/declarative,Single,Present,other,"NHS, HS ",Present,CA:SIGNER,NA,"me, really, don't want",Single,"PT:PRO1SG, TRUE, TIRED, PT:PRO1SG",TRUE,NA,Regular
BM10M67WDNC_CLU#035,Birmingham,deaf,67,M,Negated clause,Single,NA,NA,not-know me not-know,I don't know about that.,1310,Neg/response,Multiple,Present,reprise (clause-final),NHS,Absent,NA,PRESSED-LIPS,don't know,Single,"KNOW-NOT, PT:PRO1SG, KNOW-NOT",NA,NA,Irregular
BM10M67WDNC_CLU#038,Birmingham,deaf,67,M,Negated clause,Single,NA,NA,(me) not-know me,I don't know about the old pension system.,1270,Neg/response,Single,Absent,other,NHS,Absent,NA,PRESSED-LIPS,NA,Absent,"KNOW-NOT, PT:PRO1SG",NA,NA,Irregular
BM10M67WDNC_CLU#047,Birmingham,deaf,67,M,Non-negated clause,Single,NA,NA,(it was) nothing!,That was nothing!,710,NA,Single,Present,None,NHS,Absent,NA,NA,nothing,Single,NOTHING,NA,NA,Regular
BM10M67WDNC_CLU#055,Birmingham,deaf,67,M,Negated clause,Embed,post-container,NA,(me) think (not),"I don't think they'll forget you in future, hopefully.",230,Neg/response,Absent,Present,None,HS,Present,NA,CWF,NA,Absent,THINK,NA,NA,Regular
BM10M67WDNC_CLU#059,Birmingham,deaf,67,M,Negated clause,Single,NA,NA,you cannot (say) no (you) cannot (do that!),You can't say no!,2630,Neg/response,Multiple,Present,other,HS,Present,NA,NA,"can't, no, can't",Multiple,"G:WELL, PT:PRO2SG, CAN-NOT, NO02, IMPOSSIBLE",IMPOSSIBLE,NA,Irregular
BM10M67WDNC_CLU#068,Birmingham,deaf,67,M,Negated clause,Depend,NA,independent,(they) give-me (presents) never them,They never give me anything when they go on holiday!,1110,Neg/declarative,Single,Present,post-predicate (non-reprise),"NHS, HS",Present,NA,NA,"give, never",Single,"GIVE, NEVER, PT:PRO3PL/PT:PRO3SG",NEVER,"KC could also be eyegaze only SS: agree can either way, JF: Not sure if this should be marked as Actor? It's a pronoun copy isn't it? Perhaps NEVER marks a separate clause?",Regular
BM10M67WDNC_CLU#073,Birmingham,deaf,67,M,Negated clause,Depend?,NA,dependent,(but) not give (presents to others),The children are happy to accept money but they don't want to spend it on us! ,950,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,"not, give",Single,"NO, GIVE",NO,"SS:undergoers state third, translation is either second or third. need to change , SS - am not sure if it role or he telling the other man , if it role then it two role in, a his children giving and him negating that it not happened - using quideline put this as noCAwith eye gaze. KC given it's unclear, I think it's best to put Unsure or Ambiguous SS:agree have changed to Ambiguous",Regular
BM10M67WDNC_CLU#087,Birmingham,deaf,67,M,Negated clause,Depend?,NA,dependent,(but) there-them well (no nothing)/out-there well (no jobs nothing),He asked but it was hard to get them to take him on. ,1230,Neg/declarative,Absent,Present,None,HS,Present,CA:SIGNER'S-SON?,PRESSED-LIPS ,noth(ing)?,Single,"PT:PRO3PL, G:WELL, PT:",G:WELL,NA,Regular
BM10M67WDNC_CLU#094,Birmingham,deaf,67,M,Negated clause,Embed ,contained,NA,(don't) worry,"I was concerned, but my son said not to worry.  ",270,Neg/declarative,Absent,Present,None,HS,Present,CD:SIGNER'S-SON,NA,don't worry,Single,WORRY,NA,GH: not sure about this translation or analysis,Regular
BM10M67WDNC_CLU#101,Birmingham,deaf,67,M,Negated clause,Single,NA,NA,(but we) don't-know,"I hope that'll turn out well, but I don't know.",470,Neg/declarative,Single,Present,other,HS?,Present,NA,NA,don't know,Single,KNOW-NOT,KNOW-NOT,NA,Irregular
BM10M67WDNC_CLU#109,Birmingham,deaf,67,M,Negated clause,SharedCecho,NA,NA,(not) houses no,Not houses.,830,Neg/response,Single,Present,other,HS1,Present,NA,NA,"house, no",Single,"HOUSE, NO","HOUSE, NO",NA,Regular
BM10M67WDNC_CLU#116,Birmingham,deaf,67,M,Negated clause,Single,NA,NA,(he) not-like roofs,"So, not roofs...",710,Neg/declarative,Single,Present,None,HS,Present,NA,NA,NA,Absent,"MAYBE, ROOF(FALSE-START)","MAYBE, ROOF(FALSE-START)",NA,Regular
BM10M67WDNC_CLU#121,Birmingham,deaf,67,M,Negated clause,Single,NA,NA,they not-want (him even though he is hearing/they don't want deaf builders),They don't want that.,910,Neg/declarative,Single,Present,other,HS,Present,NA,PRESSED-LIPS,don't,Single,"PT:PRO3SG, WANT-NOT",NA,SG: referencing needs checking - unsure about this one GH: I am unsure too,?
BM13F39WHC_CLU#004,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,you (not) go same holiday same place no?,"You mean, she wasn't in the same holiday place as you no?",2120,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),HS,Present,NA,NA,"didn't, go, holiday, same, place, no",Multiple,"PT:PRO2SG, GO, SAME, HOLIDAY02, SAME, PLACE, NO","SAME, SAME",NA,Regular
BM13F39WHC_CLU#006,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,nothing no (they're not married yet) or-what?,They're not married?,1150,Neg/response,Multiple,Present,other,HS,Present,NA,NA,"they not, married yet",Single,"NOTHING, NO, PT:",NA,AS Not sure about this argument analysis. ,Regular
BM13F39WHC_CLU#010,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,no (her name is not Michelle),"No, not Michelle - Holly?",809,Neg/response,Single,Present,other,"HS1, HS",Present,NA,NA,"no, Michelle",Single,"NO, G(NMS):MICHELLE",NA,NA,Regular
BM13F39WHC_CLU#015,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,(me) not-know me!,I don't know.,400,Neg/response,Single,Present,other,NHS,Absent,NA,NA,i don't know,Single,"KNOW-NOT, PT:PRO1SG",NA,NA,Irregular
BM13F39WHC_CLU#040,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,"(but) you (no, not think she is fine)?",You don't think so?,1870,Neg/response,Absent,Present,None,"Nod, HS",Present,NA,PRESSED-LIPS,but,Absent,PT:PRO3SG,PT:PRO3SG,NA,Regular
BM13F39WHC_CLU#054,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,then-my-turn drive nothing (I did not drive at all),I didn't get a turn at driving!,1520,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),"NHS , HS",Present,NA,NA,"then turn, drive, noth(ing)",Single,"NEXT, DRIVE, NOTHING","NEXT, DRIVE, NOTHING",MattB: interesting variant of NEXT,Regular
BM13F39WHC_CLU#056,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,me not-yet plan next-year,I don't know what to plan for next year yet.,1560,Neg/declarative,Single,Present,pre-predicate,"HS , NHS ",Present,NA,NA,"me, not yet, plan, next year",Single,"PT:PRO1SG, NOT-YET, PLAN, NEXT-YEAR","PLAN, NEXT-YEAR",JF: NEXT-YEAR as UG? This may need to be removed - see alternative translation,Irregular
BM13F39WHC_CLU#069,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,me (have not) booked nothing/not-yet,I haven't booked.,1640,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),HS,Present,NA,NA,"i, have(n't) booked",Single,"PT:PRO1SG, BOOKED, NOTHING/NOT-YET",NA,NA,Irregular
BM13F39WHC_CLU#082,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,no (that's) impossible,That's impossible - I think it would take about ten hours to get there.,1110,Neg/declarative,Single,Present,other,HS,Present,NA,NA,"no, impossible",Single,"G:WELL, IMPOSSIBLE(FALSE-START), IMPOSSIBLE","G:WELL, IMPOSSIBLE(FALSE-START), IMPOSSIBLE",NA,Regular
BM13F39WHC_CLU#103,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,hotel stay-there hotel no (we not stay in the hotel),"Well, I didn't want to stay at the hotel.",1190,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),HS,Present,NA,NA,"stay, ho(tel)",Absent,"ACCOMMODATION, ACCOMMODATION, NO","ACCOMMODATION, ACCOMMODATION, NO","AW: Congruent because it looks like she's using spatial ref/placement but because of the angle of the chairs, it's not always clear that she's doing that or that she's just signing towards the other interlocutor.",Regular
BM13F39WHC_CLU#111,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,(like) me (not) finish that-one-there,We could go there again and finish doing things that we hadn't done.,1178,Neg/response,Absent,Present,None,HS,Present,NA,NA,"like, not, finish",Single,"PT:PRO1SG, FINISH, PT:LOC/PT:PRO3SG","PT:PRO1SG, FINISH",NA,Regular
BM13F39WHC_CLU#126,Birmingham,hearing,39,F,Negated clause,Single,NA,NA,not-know me,I don't know.,440,Neg/response,Single,Present,other,NHS,Absent,NA,NA,i don't know,Single,"KNOW-NOT, PT:PRO1SG",NA,NA,Irregular
BM14F36WHC_CLU#023,Birmingham,hearing,36,F,Negated clause,Single,NA,NA,me (didn't) say anything/nothing no,"I didn't say anything, though, because I was exploring Sandbanks beach. ",910,Neg/declarative,Multiple,Present,other,HS,Present,NA,NA,"m(e), say, nothing",Single,"PT:PRO1SG, SAY, NOTHING, NO","NOTHING, NO",NA,Regular
BM14F36WHC_CLU#031,Birmingham,hearing,36,F,Negated clause,Single,NA,NA,(no they are not) married not-yet,"They're not married yet, they're partners.",870,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),HS,Present,NA,SYLL:SHH,married,Absent,"SPOUSE, NOT-YET","SPOUSE, NOT-YET",NA,Irregular
BM14F36WHC_CLU#049,Birmingham,hearing,36,F,Negated clause,Single,NA,NA,me (not) see-each-her nothing walking-around (no),We didn't see her around. ,1710,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),HS,Present,CA:SIGNER,PRESSED-LIPS ,NA,Absent,"PT:PRO1SG, LOOK02, NOTHING, WALK-AROUND","LOOK02, NOTHING, WALK-AROUND",JF: not sure how to code this one - as it is produce as a reciprocal,Regular
BM14F36WHC_CLU#065,Birmingham,hearing,36,F,Negated clause,Fragment,NA,NA,(no not) that-one,"No, Michelle was the second one, followed by baby Holly.",480,Neg/response,Absent,Present,None,HS,Present,NA,NA,NA,Absent,PT:PRO3SG,NA,"MattB: less of a coordination list episode, more like ranking/determiner",Regular
BM14F36WHC_CLU#069,Birmingham,hearing,36,F,Negated clause,Single,NA,NA,first-one (me cannot) remember name well,I can't remember the eldest one's name.,1350,Neg/declarative,Absent,Present,None,"HS, NHS, HS",Present,NA,PRESSED-LIPS,"first, can('t) remem(ber), name",Single,"PT:LBUOY, RANKING, REMEMBER, NAME, G:WELL",LBUOY,"MattB: less of a coordination list episode, more like ranking/determiner",Regular
BM14F36WHC_CLU#096,Birmingham,hearing,36,F,Negated clause,Single,NA,NA,she (did not) recognise me,"I realised it was her, but she didn't recognise me! ",790,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,"not, re(cog)nise, me",Single,"PT:PRO3SG, RECOGNISE, PT:PRO1SG",RECOGNISE,AW: Is this part of preceding or following clause?,Regular
BM14F36WHC_CLU#109,Birmingham,hearing,36,F,Negated clause,Single,NA,NA,(jetski not) allowed this-area-around-here,"They aren't allowed in the main part, only on the left hand side.",510,Neg/declarative,Absent,Present,None,"HS, NHS",Present,NA,NA,"not, all(ow)",Single,"ALLOW, AREA",ALLOW,NA,Regular
BM14F36WHC_CLU#113,Birmingham,hearing,36,F,Negated clause,Single,NA,NA,over-there cannot do-there the beach there (no),We weren't allowed on that bit because it was dangerous.,1710,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,can't,Single,"PT:DET, CAN-NOT, THERE, PT:DET, BEACH, PT:","PT:LOC, BEACH, PT:LOC",NA,Irregular
BM21F44WDC_CLU#043,Birmingham,deaf,44,F,Negated clause?,Single,NA,NA,same hearing Olympics that (or) no?,Was it as professional as the hearing Olympics?,1914,Neg/alternative,Single,Present,post-predicate (non-reprise & clause-final),NHS,Absent,NA,NA,"same, hearing, olympics",Absent,"PT:PRO, SAME, HEARING, OLYMPIC, PT:PRO3SG, NO","FBUOY, SAME, PBUOY/FBUOY, OLYMPIC",NA,Regular
BM21F44WDC_CLU#054,Birmingham,deaf,44,F,Negated clause?,Single,NA,NA,(you don't know?),You don't know who came first?,429,Neg/response,Absent,Present,None,HS,Present,NA,PRESSED-LIPS,NA,Absent,G:WELL,FBUOY,NA,Regular
BM21F44WDC_CLU#059,Birmingham,deaf,44,F,Non-negated clause?,Depend,NA,dependent,(when) nothing (on),"When nothing was on, you went  out.",322,NA,Single,Present,other,HS,Present,NA,NA,nothing,Single,NOTHING,NA,NA,Regular
BM21F44WDC_CLU#065,Birmingham,deaf,44,F,Negated clause,Single,NA,NA,(you) think focus football (only) well (no can't do that),You couldn't just focus on the football.,1749,Neg/response,Absent,Present,None,"NHS, HS",Present,NA,NA,"think, football",Absent,"THINK, CONCENTRATE, KICK, G:WELL","FBUOY, CONCENTRATE, KICK, FBUOY",NA,Regular
BM21F44WDC_CLU#069,Birmingham,deaf,44,F,Negated clause,Embed,contained,NA,me nothing tempted (I am not tempted to visit Australia),"I'm strange because I have no desire to visit English speaking countries like America or Australia, although I know everyone says I should. ",1317,Neg/declarative,Single,Present,pre-predicate,"HS, NHS",Present,NA,NA,"me, nothing",Single,"PT:PRO1SG, NOTHING, TEMPT",LBUOY,MattB: not disjunction because negative scope (not[a or b] = [not a] and [not b]),Regular
BM21F44WDC_CLU#072,Birmingham,deaf,44,F,Negated clause,Single,NA,NA,(but) me not (want visit there/have not visited there),"I'm strange because I have no desire to visit English speaking countries like America or Australia, although I know everyone says I should. ",391,Neg/response,Single,Present,other,HS,Present,NA,PRESSED-LIPS,NA,Absent,"NOTHING, PT:PRO1SG",LBUOY,GH: negation is internal response frame,Regular
BM21F44WDC_CLU#073,Birmingham,deaf,44,F,Negated clause,Single,NA,NA,secondly Australia me that-one nothing (I have not visited/I am not going there),"I'm strange because I have no desire to visit English speaking countries like America or Australia, although I know everyone says I should. ",1700,Neg/response,Single,Present,other,HS,Present,NA,PRESSED-LIPS,australia,Absent,"PT:LBUOY, PT:, AUSTRALIA, PT:, PT:LBUOY, NOTHING",LBUOY-TWO,GH: negation is internal response frame,Regular
BM21F44WDC_CLU#074,Birmingham,deaf,44,F,Negated clause,Depend,NA,independent,"so-called ""British"" speaking countries me nothing tempt (not tempted to visit them)","I'm strange because I have no desire to visit English speaking countries like America or Australia, although I know everyone says I should. ",2873,Neg/declarative,Single,Present,pre-predicate,"NHS, HS ",Present,NA,NA,"british, country, nothing",Single,"TITLE, BRITAIN, SPEECH, COUNTRY, REGION, PT:PRO1SG, NOTHING, TEMPT","TITLE, BRITAIN, FBUOY, PBUOY, TEMPT",NA,Regular
BM21F44WDC_CLU#083,Birmingham,deaf,44,F,Negated clause,Single,NA,NA,well (I don't know),I don't know.,653,Neg/response,Absent,Present,None,HS,Present,NA,PRESSED-LIPS,NA,Absent,G:WELL,G:WELL,NA,Regular
BM21F44WDC_CLU#091,Birmingham,deaf,44,F,Negated clause,Single,NA,NA,pub (not typical like ours),And about their pubs...,751,Neg/response,Absent,Present,None,HS,Present,NA,NA,pub,Absent,DRINK,NA,GH: negation is internal response frame,Regular
BM21F44WDC_CLU#126,Birmingham,deaf,44,F,Negated clause,Single,NA,NA,me (not) finish all-there (I haven't been to all those places yet),"Really, there are plenty of countries in Europe and I haven't been to them all.",1308,Neg/declarative,Absent,Present,None,HS,Present,NA,NA,"i, finish, all",Absent,"PT:PRO1SG, FINISH, ALL","FBUOY, FINISH, ALL",NA,Regular
BM21F44WDC_CLU#150,Birmingham,deaf,44,F,Negated clause,Embed,contained,NA,not with mafia mafia-sign-like-this no (mafia),But they said it was nothing to do with the mafia. ,2636,Neg/response,Multiple,Present,reprise (clause-final),HS,Present,CD:TV-SHOW,NA,"not, with, mafia, mafia",Single,"NO, LINK, FS:MAFIA, MAFIA, NO","NO, LINK, FS:MAFIA, MAFIA, NO",NA,Regular
BM21F44WDC_CLU#151,Birmingham,deaf,44,F,Negated clause,Single,NA,NA,(they) say (not) mafia,But they said it was nothing to do with the mafia. ,667,Neg/response,Absent,Present,None,HS,Present,NA,NA,"say, no mafia",Single,"SAY, MAFIA","FBUOY, MAFIA",JF: This seems intransitive,Regular
BM21F44WDC_CLU#153,Birmingham,deaf,44,F,Negated clause,Single,NA,NA,(they) say not (to do with) mafia no,It was nothing to do with the mafia.,1066,Neg/response,Multiple,Present,reprise (clause-final),HS,Present,NA,NA,"say, not do, wi(th) mafia",Single,"SAY, NO, MAFIA, NO","FBUOY, NO, MAFIA, FBUOY",JF: This seems intransitive,Regular
BM22F36WDC_CLU#027,Birmingham,deaf,36,F,Negated clause,Single,NA,NA,me not-mind (going there) again,I didn't mind seeing them again.,1190,Neg/declarative,Single,Present,other,HS,Present,NA,NA,"i, don't mind, again",Single,"PT:PRO1SG, PROBLEM-NOT, AGAIN",PROBLEM-NOT,NA,?
BM22F36WDC_CLU#029,Birmingham,deaf,36,F,Negated clause,Embed,contained,NA,me fly-there same again (no I didn't want that),But I didn't plan to travel over there in the same way again.,2195,Neg/response,Absent,Present,None,"NHS, HS",Present,NA,NA,same,Absent,"PT:PRO1SG, LANDING, SAME, AGAIN",SAME,GH: negation is internal response frame,Regular
BM22F36WDC_CLU#072,Birmingham,deaf,36,F,Negated clause,Single,NA,NA,(he) cannot play final,"Unfortunately, Chris was injured and couldn't play in the final.",1185,Neg/declarative,Single,Present,pre-predicate,HS,Present,NA,NA,"can't, play, final",Single,"CAN-NOT, PLAY, FINAL","CAN-NOT, PLAY, FINAL",NA,Irregular
BM22F36WDC_CLU#074,Birmingham,deaf,36,F,Negated clause,Single,NA,NA,then-that-game (no) final (he cannot play the final),"He played in the matches leading up to it, but not the final.",1756,Neg/response,Absent,Present,None,HS,Present,NA,NA,final,Absent,"PT:PRO3SG/PT:LOC , FINAL, G:WELL","FBUOY , FINAL, G:WELL",GH: negation is internal response frame,Regular
BM22F36WDC_CLU#081,Birmingham,deaf,36,F,Negated clause,Single,NA,NA,but before Olympics no (he was not captain),"He was captain for Europe, but not for the Olympics.",1668,Neg/response,Single,Present,other,"NHS, HS ",Present,NA,NA,"(be)fore, olympics",Absent,"BUT, BEFORE, OLYMPIC","BEFORE, OLYMPIC, NO",GH: negation is internal response frame,Regular
BM22F36WDC_CLU#091,Birmingham,deaf,36,F,Negated clause,Single,NA,NA,me not-know who those-people,but I didn't know who they were,987,Neg/declarative,Single,Present,other,HS,Present,NA,NA,"don't know, who",Single,"PT:PRO1SG, KNOW-NOT, WHO, PT:PRO3SG, PT:PRO3SG",KNOW-NOT,NA,Irregular
BM22F36WDC_CLU#103,Birmingham,deaf,36,F,Negated clause,Single,NA,NA,(can't) remember who that-one-there ,"The person was kind of like an official, walking behind the identifying banners, but I can't remember who represented Great Britain.",952,Neg/declarative,Absent,Present,None,"NHS, Nod",Absent,NA,NA,"can't remem(ber), who",Single,DSEW(1-VERT)-AT:HUMAN,"REMEMBER, WHO, PT:PRO3SG",NA,Regular
BM22F36WDC_CLU#116,Birmingham,deaf,36,F,Negated clause,Single,NA,NA,scores well-me-don't-know (no),I don't know the scores.,1200,Neg/response,Absent,Present,None,HS,Present,NA,NA,no,Single,"MATHS, G:WELL","MATHS, G:WELL",GH: negation is internal response frame,Regular
BM22F36WDC_CLU#117,Birmingham,deaf,36,F,Negated clause ,Single ,NA,NA,me not-know that/them/there,"I didn't know because they had an information room, but I didn't go there.",995,Neg/response,Single,Present,other,HS,Present,NA,NA,"i, didn't know, XXX",Single,"PT:PRO1SG, KNOW-NOT, PT:PRO3SG",NA,NA,Irregular
BM22F36WDC_CLU#119,Birmingham,deaf,36,F,Negated clause,Depend? ,NA,dependent,(but) me (didn't) go-there,"I didn't know because they had an information room, but I didn't go there.",469,Neg/declarative,Absent,Present,other,HS,Present,NA,NA,"me, didn't, go",Single,"PT:PRO1SG, GO-TO, PT:LOC",NA,NA,Regular
LN03F47WDC_CLU#002,London,deaf,47,F,Non-negated clause,Depend,NA,independent,should (be) non-smoking,Yes you're not supposed to smoke there but he ignored the rules.,1005,NA,Absent,Present,None,HS,Present,NA,NA,"should be, not smo(ke)",Single,NA,"SHOULD, NO/SMOKE-CIGARETTE","EM: overlap, both want to take the floor",Regular
LN03F47WDC_CLU#007,London,deaf,47,F,Negated clause,Single,NA,NA,"no, no (it's) not safe","You're right, it's not safe.",1639,Neg/response,Multiple,Present,other,HS,Present,NA,NA,"not, safe",Single,"NO, NOT, SAFE","NOT, SAFE",NF: NOT should be here,Regular
LN03F47WDC_CLU#036,London,deaf,47,F,Negated clause,Single,NA,NA,nothing no-one-else (in) the office there,"Holding my papers, I was in a difficult position and the office was empty.",1515,Neg/declarative,Multiple,Present,other,NHS,Absent,NA,SYLL:POOH,office,Absent,"NOT-HAVE, NOTHING, EMPTY/CLEAN/MEANING, OFFICE, PT:LOC","NOTHING, EMPTY/CLEAN/MEANING",NA,Irregular
LN03F47WDC_CLU#058,London,deaf,47,F,Negated clause,Single,NA,NA,me stuck-can't-do-anything ,I simply pointed that he was blind and the boss apologised as he let him in.,1180,Neg/declarative,Absent,Present,None,"NHS, HS",Present,CA:SIGNER,NA,NA,Absent,"PT:PRO1SG, G:WELL, G:CA:STANDING-STILL",NA,G:WELL,Regular
